label,message
spam,Make money fast with this simple trick.
spam,Make money fast with this simple trick.
spam,Make money fast with this simple trick.
spam,Earn $1000 daily from home without any investment.
ham,See you at the gym around 6 pm.
spam,You have been selected for a free vacation. Respond now!
spam,This secret method will change your life – click to learn more.
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,You have been selected for a free vacation. Respond now!
ham,The project meeting is rescheduled to Monday morning.
spam,You have been selected for a free vacation. Respond now!
spam,Act now to get a free trial of our weight loss pills!
ham,Please review the attached report and let me know your thoughts.
spam,Exclusive deal just for you – limited time offer!
ham,I'll be working from home today.
spam,Exclusive deal just for you – limited time offer!
ham,See you at the gym around 6 pm.
spam,Make money fast with this simple trick.
spam,Act now to get a free trial of our weight loss pills!
ham,Don't forget to pick up the groceries on your way home.
ham,Happy Birthday! Wishing you a great year ahead.
ham,Please review the attached report and let me know your thoughts.
spam,This secret method will change your life – click to learn more.
spam,Act now to get a free trial of our weight loss pills!
ham,Don't forget to pick up the groceries on your way home.
ham,Please review the attached report and let me know your thoughts.
ham,See you at the gym around 6 pm.
spam,You are chosen! Claim your $500 gift card now.
spam,You are chosen! Claim your $500 gift card now.
ham,Happy Birthday! Wishing you a great year ahead.
ham,"Hey, are we still meeting for lunch today?"
ham,See you at the gym around 6 pm.
spam,You have been selected for a free vacation. Respond now!
ham,Please review the attached report and let me know your thoughts.
spam,Make money fast with this simple trick.
spam,Don't miss out! Your account qualifies for a huge discount.
ham,Don't forget to pick up the groceries on your way home.
spam,Don't miss out! Your account qualifies for a huge discount.
ham,The project meeting is rescheduled to Monday morning.
ham,The project meeting is rescheduled to Monday morning.
ham,Happy Birthday! Wishing you a great year ahead.
ham,Thanks for your help on the presentation.
spam,This secret method will change your life – click to learn more.
ham,Let's catch up over coffee this weekend.
spam,Exclusive deal just for you – limited time offer!
ham,Don't forget to pick up the groceries on your way home.
spam,This secret method will change your life – click to learn more.
ham,Thanks for your help on the presentation.
ham,Let's catch up over coffee this weekend.
spam,Earn $1000 daily from home without any investment.
spam,Make money fast with this simple trick.
spam,Earn $1000 daily from home without any investment.
spam,You have been selected for a free vacation. Respond now!
ham,The project meeting is rescheduled to Monday morning.
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,Exclusive deal just for you – limited time offer!
ham,Happy Birthday! Wishing you a great year ahead.
spam,Act now to get a free trial of our weight loss pills!
spam,Congratulations! You've won a free iPhone. Click here to claim.
ham,The project meeting is rescheduled to Monday morning.
